hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y_Mcr_u_eq
125;500;20;250;20;250;20;-1;9000;2.549907184
400;267;4.65;300;15.16;200;4.65;-1;4000;1.372027923
250;1000;40;1000;80;1000;76.32;0;6000;1.447772871
200;300;12;300;18.47;75;12;0;11400;4.320193922
267;400;1.92;300;10.74;100;3.21;-0.25;4800;5.210475802
240;600;24;300;24;300;24;0;4800;1.656170849
800;400;3.84;600;25.89;200;11.58;0.75;28800;3.730337327
200;600;2;600;41.37;600;43.58;-0.25;10800;1.976308005
700;200;8.13;525;30.39;525;18.79;-0.5;18200;3.565807992
500;500;2.4;375;23.09;250;12.63;-0.75;20000;3.781008375
600;240;2.23;450;16.11;300;10.74;0.25;19200;2.890163951
600;900;3;225;18;450;11.13;0.5;34200;0.923165282
500;125;20;500;21.58;375;20;-0.75;11000;3.883888433
400;114;1.92;300;8.53;100;3.58;-1;13600;3.932145972
700;175;2.93;525;40.07;350;18.97;1;5600;1.889349536
700;200;12.6;525;30.39;525;26.53;0.5;18200;1.478745092
300;900;16.2;450;19.42;900;28.89;0;10800;1.009530892
1000;333;3.33;250;6.18;250;17.24;1;12000;0.785351778
333;500;2.09;500;5;375;14.8;0;6000;1.283881357
286;1000;11.61;1000;61.58;1000;17.37;0.5;10000;1.774459537
700;467;12.6;700;27.63;175;12.6;0.5;25200;4.706165055
400;400;3.43;200;8.63;200;7.89;0;11200;1.985279918
1000;1000;5.62;250;8.03;750;51.71;-1;36000;4.002079535
75;300;12;300;12;150;12;-0.5;12000;2.636769024
400;800;32;600;32;600;32.53;-0.75;27200;2.582370989
267;800;5.43;600;12.63;200;6.42;0.5;19200;3.791213095
800;800;2.97;400;17.26;400;21.68;-0.75;30400;2.765521691
700;700;2.6;525;22.66;700;7;0;23800;1.95608864
100;400;1.92;300;20.68;300;20.68;-0.5;11200;2.348517751
700;350;12.6;175;12.6;175;13.36;1;14000;1.024879366
900;900;6.11;225;6.11;900;32.21;-0.25;28800;1.802031721
500;125;2.4;500;25.26;375;23.09;-0.75;16000;3.920104961
240;600;3.38;450;29.37;300;24;-0.75;22800;3.148709904
900;360;3;225;16.34;225;11.37;0.25;34200;1.856214149
